LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,avg_bill_amt,utilization_ratio,avg_pay_amt,payment_ratio,delay_trend,months_late,max_delay
160000.0,2,2,2,33,2,2,3,2,0,0,161771.0,172632.0,168541.0,164310.0,162681.0,163005.0,15000.0,0.0,0.0,6100.0,12300.0,6100.0,165490.0,1.0343125,6583.333333333333,0.03978085282091566,2,4,3
150000.0,2,1,2,34,1,-1,-1,-2,-2,-2,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,8.833333333333334,5.8888888888888896e-05,8.833333333333334,1.0,3,1,1
10000.0,1,2,1,50,1,2,0,0,0,0,10171.0,8150.0,8446.0,8067.0,8227.0,8400.0,2.0,1281.0,1134.0,294.0,305.0,1000.0,8576.833333333334,0.8576833333333334,669.3333333333334,0.0780396805347739,1,2,2
220000.0,2,1,2,29,0,0,0,0,0,0,206879.0,211037.0,215139.0,218513.0,131660.0,134346.0,9100.0,9000.0,7887.0,4800.0,4900.0,6000.0,186262.33333333334,0.8466469696969697,6947.833333333333,0.03730133306608779,0,0,0
310000.0,2,1,2,32,1,-2,-1,0,0,-2,0.0,0.0,326.0,326.0,-235.0,-235.0,0.0,326.0,0.0,0.0,0.0,1200.0,30.333333333333332,9.784946236559139e-05,254.33333333333334,5.0,3,1,1
240000.0,2,1,2,36,-1,-1,2,0,-1,2,5367.0,6959.0,6649.0,5149.0,13750.0,5777.0,6959.0,15.0,0.0,7013.0,0.0,726.0,7275.166666666667,0.030313194444444445,2452.1666666666665,0.33705986117156533,-3,2,2
160000.0,2,3,2,33,-1,2,2,2,2,-2,18195.0,755.0,44255.0,43228.0,-772.0,-772.0,0.0,43500.0,0.0,0.0,0.0,3000.0,17481.5,0.109259375,7750.0,0.4433258015616509,1,4,2
50000.0,2,2,1,34,3,3,2,2,2,2,47904.0,48240.0,48602.0,46289.0,44837.0,44535.0,2000.0,2001.0,499.0,2000.0,2000.0,1500.0,46734.5,0.93469,1666.6666666666667,0.035662447799092035,1,6,3
360000.0,1,1,1,32,0,0,0,0,0,0,120533.0,124530.0,128518.0,134368.0,135626.0,134864.0,6000.0,6000.0,8000.0,4918.0,5000.0,3300.0,129739.83333333333,0.3603884259259259,5536.333333333333,0.042672579354323205,0,0,0
320000.0,1,2,2,29,0,0,0,0,0,0,324693.0,321110.0,325024.0,322246.0,297637.0,301575.0,11650.0,12500.0,11900.0,10503.0,10886.0,10040.0,315380.8333333333,0.9855651041666667,11246.5,0.03566006177716359,0,0,0
30000.0,2,2,1,49,1,2,-1,-1,-1,2,10440.0,9972.0,16073.0,6342.0,8073.0,1731.0,0.0,16101.0,6342.0,1731.0,0.0,5517.0,8771.833333333334,0.29239444444444446,4948.5,0.5641352054872604,-1,3,2
200000.0,2,1,2,42,-1,-1,2,-1,-1,-1,660.0,1320.0,660.0,1320.0,1320.0,1710.0,1320.0,0.0,1320.0,1320.0,1710.0,27077.0,1165.0,0.005825,5457.833333333333,4.68483547925608,0,1,2
50000.0,2,1,2,24,1,-2,-2,-2,-2,-2,-709.0,-709.0,-709.0,-2898.0,-3272.0,-3272.0,0.0,0.0,0.0,0.0,0.0,0.0,-1928.1666666666667,0.0,0.0,-0.0,3,1,1
130000.0,2,2,1,34,0,0,0,0,-2,-2,41379.0,24462.0,15720.0,0.0,0.0,0.0,3057.0,1047.0,0.0,0.0,0.0,0.0,13593.5,0.10456538461538462,684.0,0.05031816677088314,2,0,0
210000.0,1,3,1,29,1,2,0,0,0,0,198510.0,194040.0,199393.0,194538.0,195990.0,194136.0,0.0,10000.0,7000.0,8000.0,8000.0,7200.0,196101.16666666666,0.9338150793650793,6700.0,0.034166038447841975,1,2,2
90000.0,2,1,2,24,0,0,0,0,0,0,53173.0,19825.0,20840.0,21023.0,20776.0,21055.0,1324.0,1339.0,1638.0,890.0,763.0,769.0,26115.333333333332,0.29017037037037036,1120.5,0.04290582799377122,0,0,0
30000.0,2,3,1,45,2,-1,-1,2,0,0,15667.0,12110.0,14904.0,14340.0,15131.0,16909.0,12110.0,3000.0,0.0,1000.0,2000.0,0.0,14843.5,0.49478333333333335,3018.3333333333335,0.2033437756144665,2,2,2
160000.0,1,1,1,41,-2,-2,-1,-1,-2,-1,155458.0,157690.0,150209.0,151343.0,154456.0,157632.0,7200.0,6100.0,5300.0,5400.0,165759.0,4872.0,154464.66666666666,0.9654041666666666,32438.5,0.21000595605467487,-1,0,-1
200000.0,2,3,2,27,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1
150000.0,2,2,2,26,0,0,-1,-1,-2,-1,9189.0,4359.0,4880.0,0.0,0.0,2250.0,2000.0,4880.0,0.0,0.0,2250.0,0.0,3446.3333333333335,0.022975555555555558,1521.6666666666667,0.4415320630621917,1,0,0
390000.0,2,2,2,37,0,0,0,0,0,0,324452.0,309369.0,269703.0,266017.0,271657.0,245958.0,13106.0,10111.0,10005.0,11000.0,9007.0,9000.0,281192.6666666667,0.7210068376068377,10371.5,0.03688396330866855,0,0,0
230000.0,1,2,1,36,0,0,0,0,0,0,19505.0,20715.0,19750.0,19506.0,19255.0,17479.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,19368.333333333332,0.08421014492753623,3000.0,0.15489200585147578,0,0,0
50000.0,1,2,1,51,0,0,0,0,0,0,31281.0,30832.0,20497.0,19465.0,18474.0,20096.0,2556.0,1582.0,811.0,700.0,2318.0,1101.0,23440.833333333332,0.46881666666666666,1511.3333333333333,0.0644743858651214,0,0,0
140000.0,1,3,1,58,2,0,0,0,0,0,98985.0,98702.0,96753.0,94310.0,92182.0,88818.0,4520.0,4034.0,5050.0,6034.0,3202.0,5000.0,94958.33333333333,0.6782738095238094,4640.0,0.0488635366388767,2,1,2
70000.0,1,1,2,26,0,0,0,-1,0,0,35666.0,18116.0,18397.0,17262.0,24921.0,0.0,5000.0,17831.0,17262.0,15001.0,0.0,11672.0,19060.333333333332,0.2722904761904762,11127.666666666666,0.583812804952694,0,0,0
20000.0,2,2,2,27,-1,2,0,0,0,2,20556.0,19403.0,13536.0,17623.0,18662.0,10243.0,8.0,2072.0,15000.0,1500.0,0.0,10000.0,16670.5,0.833525,4763.333333333333,0.28573428111534344,-3,2,2
60000.0,2,1,2,34,0,0,0,0,0,0,55447.0,48270.0,41087.0,25518.0,26276.0,27012.0,2178.0,1511.0,1200.0,1300.0,1300.0,1252.0,37268.333333333336,0.6211388888888889,1456.8333333333333,0.039090380573319615,0,0,0
360000.0,1,1,2,35,-1,-1,-1,-1,-2,-1,2010.0,2936.0,640.0,0.0,0.0,4750.0,2936.0,640.0,0.0,0.0,4750.0,1470.0,1722.6666666666667,0.004785185185185186,1632.6666666666667,0.9477554179566563,0,0,-1
180000.0,2,1,2,35,1,-2,-2,-2,-2,-2,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,-0.0,3,1,1
20000.0,1,2,2,27,0,0,0,0,0,0,18860.0,17904.0,15300.0,12776.0,3585.0,0.0,1360.0,1206.0,256.0,72.0,0.0,0.0,11404.166666666666,0.5702083333333333,482.3333333333333,0.042294483010595546,0,0,0
60000.0,1,2,2,24,2,0,0,0,0,0,27019.0,25100.0,21023.0,16973.0,12410.0,11944.0,1686.0,2000.0,1000.0,1000.0,6000.0,5000.0,19078.166666666668,0.31796944444444447,2781.0,0.14576872340983146,2,1,2
170000.0,2,2,2,29,0,0,0,0,0,0,69314.0,65083.0,67062.0,68188.0,56454.0,58453.0,2330.0,3028.0,2847.0,2600.0,3400.0,2045.0,64092.333333333336,0.37701372549019607,2708.3333333333335,0.04225674417637055,0,0,0
310000.0,2,1,1,36,0,0,0,0,0,0,101941.0,71874.0,70459.0,72958.0,55547.0,30970.0,3016.0,3031.0,10091.0,1429.0,1500.0,10207.0,67291.5,0.21706935483870968,4879.0,0.07250544273793867,0,0,0
